epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,762.758,1.28996,4.48704,1.08763,0.00535,0.51041,0.11788,0.06831,1.15381,4.56409,0.99451,0.000328767,0.000328767,0.000328767
2,1522.46,1.25668,3.23881,1.11063,0.56869,0.62326,0.60887,0.39024,1.21158,3.11201,1.16241,0.000661939,0.000661939,0.000661939
